Country_2016,University_Count_2016
Australia,8
Austria,1
Belgium,4
Brazil,1
Canada,7
China,2
Denmark,3
Finland,1
France,5
Germany,20
HongKong,3
Ireland,2
Israel,1
Japan,5
Netherlands,13
NewZealand,1
Norway,2
Singapore,3
SouthAfrica,1
SouthKorea,4
Spain,2
Sweden,6
Switzerland,7
Taiwan,1
UK,34
USA,63
